"N° ";"Désignation";"Durée";"Crit 1";"Désign Crit 1";"Crit 2";"Désign Crit 2";"Crit 3";"Désign Crit 3";
"185";"AMENEE D'AIR DESENFUMAGE BAT 3 R+2";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"186";"ASSERVISSEMENT CHASSIS BAT 3 R+2";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"187";"ASSERVISSEMENT CHASSIS BAT 3 R+1";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"188";"ASSERVISSEMENT CHASSIS BAT 1 R+3";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"189";"ASSERVISSEMENT CHASSIS BAT 1 R+1";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"190";"HABILLAGE APPUIS DE BAIES BAT 2 OUEST";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"191";"HABILLAGE APPUIS DE BAIES BAT 2 EST";"1";"";"";"";"";"C3-08---";"LOT 7 MENUISERIE ALUMINIUM";
"192";"PORTE AUTOMATIQUE BAT 3 SUD";"1";"";"";"";"";"C3-09---";"LOT 8 PORTE AUTOMATIQUE ";
"193";"PORTE AUTOMATIQUE INTERIEUR BAT 3";"1";"";"";"";"";"C3-09---";"LOT 8 PORTE AUTOMATIQUE ";
"194";"BLOC PORTE BAT 1 RDC";"10";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"195";"IDEOGRAMME SIGNALETIQUE BAT 1 RDC";"3";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"196";"DIVERS ACCESSOIRES BAT 1 RDC";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"197";"CLOISONS MODULAIRES BAT 1 RDC";"5";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"198";"PORTE DAS BAT 1 RDC";"2";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"199";"AMENAGEMENT PLACARDS BAT 1 RDC";"2";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"200";"PARQUETS ET PLINTHES BAT 1 RDC";"4";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"201";"CLOISONS MOBILES BAT 1 RDC";"5";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"202";"STORES VENITIENS BAT 1 RDC";"15";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"203";"PLINTHES BAT 1 RDC";"2";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"204";"BLOC PORTE BAT 1 R+1";"10";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
"205";"IDEOGRAMME SIGNALETIQUE BAT 1 R+1";"1";"";"";"";"";"C3-10---";"LOT 9 CHARPENTE MENUISERIE";
